maSP,tenSP,donViTinh,soLuongTon,donGia
SP001,Nuoc ngot Coca 330ml,lon,125,8000
SP002,Banh mi ngot KD,cai,80,12000
SP003,Sua tuoi VNM 1L,hop,60,35000
SP004,Khan giay Pulppy 100,goi,95,15000
SP005,Mi Hao Hao tom chua,goi,250,3500
SP006,Nuoc suoi Lavie 500ml,chai,160,5000
SP007,Ban chai Colgate mem,cai,70,22000
SP008,Kem danh rang PS Tra Xanh,tuyp,65,18000
SP009,Pin AA Energizer v2,vi,45,30000
SP010,Banh Chocopie Orion h12,hop,35,55000
SP011,Nuoc tang luc Sting,chai,110,10000
SP012,Banh gao One One,goi,50,28000
SP013,Sua dac Ong Tho,lon,40,25000
SP014,Giay VS An An 2 lop,cuon,80,4500
SP015,Ca phe G7 3in1 b20,bich,90,52000
SP016,Nuoc rua chen Sunlight,chai,55,32000
SP017,Keo ngam Strepsils,vien,60,20000
SP018,Dao cao rau Gillette g5,goi,30,27000
SP019,But bi TL 027,cay,150,3000
SP020,Vo Campus 120tr,quyen,100,12000
SP021,Xuc xich CP Funmix,cay,70,6000
SP022,Nuoc tuong Maggi 200ml,chai,40,16000
SP023,Dau goi Clear Men 180g,chai,35,75000
SP024,Sua tam Lifebuoy 250g,chai,45,58000
SP025,Bang VS Diana Cool g8,goi,50,23000
SP026,Banh quy AFC rau,hop,60,38000
SP027,Tra Lipton tui loc h25,hop,30,42000
SP028,Nuoc xa Comfort 800ml,tui,25,65000
SP029,Bot giat Omo Matic 800g,tui,20,85000
SP030,Khan uot Bobby khong mui,goi,40,33000
SP031,Sua chua VNM Trai Cay,loc,50,26000
SP032,Keo Que,Hop,500,50000
